STARTING FOR DT 80
WARNING: Your kernel does not support swap limit capabilities or the cgroup is not mounted. Memory limited without swap.
In-memory storage of 3-sequences enabled
Initializing the 2 object cache
Initializing the 3 object cache
06:30:08> ACT CON 3:       0 | ACT CON 5:       0 | FULL SEQ:       0 / 1860480 | MIN DV:      inf | REM: 1057.60 [MIN]
17:54:47> ACT CON 3:    6840 | ACT CON 5:   96987 | FULL SEQ:  350618 / 1860480 | MIN DV:  24455.2 | REM: 1540.09 [MIN]
17:54:59> ACT CON 3:    6840 | ACT CON 5:   97045 | FULL SEQ:  350867 / 1860480 | MIN DV:  24455.2 | REM: 1539.61 [MIN]
17:55:10> ACT CON 3:    6840 | ACT CON 5:   97099 | FULL SEQ:  351167 / 1860480 | MIN DV:  24455.2 | REM: 1538.80 [MIN]
17:55:21> ACT CON 3:    6840 | ACT CON 5:   97150 | FULL SEQ:  351420 / 1860480 | MIN DV:  24455.2 | REM: 1538.17 [MIN]
17:55:31> ACT CON 3:    6840 | ACT CON 5:   97200 | FULL SEQ:  351667 / 1860480 | MIN DV:  24455.2 | REM: 1537.58 [MIN]
17:55:42> ACT CON 3:    6840 | ACT CON 5:   97256 | FULL SEQ:  351967 / 1860480 | MIN DV:  24455.2 | REM: 1536.76 [MIN]
17:55:54> ACT CON 3:    6840 | ACT CON 5:   97313 | FULL SEQ:  352217 / 1860480 | MIN DV:  24455.2 | REM: 1536.27 [MIN]
17:56:05> ACT CON 3:    6840 | ACT CON 5:   97368 | FULL SEQ:  352517 / 1860480 | MIN DV:  24455.2 | REM: 1535.45 [MIN]
17:56:17> ACT CON 3:    6840 | ACT CON 5:   97427 | FULL SEQ:  352821 / 1860480 | MIN DV:  24455.2 | REM: 1534.69 [MIN]
17:56:29> ACT CON 3:    6840 | ACT CON 5:   97481 | FULL SEQ:  353117 / 1860480 | MIN DV:  24455.2 | REM: 1533.90 [MIN]
17:56:41> ACT CON 3:    6840 | ACT CON 5:   97537 | FULL SEQ:  353366 / 1860480 | MIN DV:  24455.2 | REM: 1533.41 [MIN]
17:56:53> ACT CON 3:    6840 | ACT CON 5:   97594 | FULL SEQ:  353617 / 1860480 | MIN DV:  24455.2 | REM: 1532.93 [MIN]
17:57:04> ACT CON 3:    6840 | ACT CON 5:   97649 | FULL SEQ:  353869 / 1860480 | MIN DV:  24455.2 | REM: 1532.36 [MIN]
17:57:15> ACT CON 3:    6840 | ACT CON 5:   97704 | FULL SEQ:  354169 / 1860480 | MIN DV:  24455.2 | REM: 1531.58 [MIN]
17:57:26> ACT CON 3:    6840 | ACT CON 5:   97760 | FULL SEQ:  354469 / 1860480 | MIN DV:  24455.2 | REM: 1530.75 [MIN]
17:57:38> ACT CON 3:    6840 | ACT CON 5:   97817 | FULL SEQ:  354717 / 1860480 | MIN DV:  24455.2 | REM: 1530.30 [MIN]
17:57:49> ACT CON 3:    6840 | ACT CON 5:   97869 | FULL SEQ:  355017 / 1860480 | MIN DV:  24455.2 | REM: 1529.41 [MIN]
17:57:59> ACT CON 3:    6840 | ACT CON 5:   97917 | FULL SEQ:  355271 / 1860480 | MIN DV:  24455.2 | REM: 1528.76 [MIN]
17:58:10> ACT CON 3:    6840 | ACT CON 5:   97972 | FULL SEQ:  355517 / 1860480 | MIN DV:  24455.2 | REM: 1528.26 [MIN]
17:58:20> ACT CON 3:    6840 | ACT CON 5:   98022 | FULL SEQ:  355767 / 1860480 | MIN DV:  24455.2 | REM: 1527.65 [MIN]
17:58:33> ACT CON 3:    6840 | ACT CON 5:   98081 | FULL SEQ:  356071 / 1860480 | MIN DV:  24455.2 | REM: 1526.91 [MIN]
17:58:43> ACT CON 3:    6840 | ACT CON 5:   98129 | FULL SEQ:  356316 / 1860480 | MIN DV:  24455.2 | REM: 1526.34 [MIN]
17:58:55> ACT CON 3:    6840 | ACT CON 5:   98193 | FULL SEQ:  356716 / 1860480 | MIN DV:  24455.2 | REM: 1525.11 [MIN]
17:59:06> ACT CON 3:    6840 | ACT CON 5:   98245 | FULL SEQ:  356967 / 1860480 | MIN DV:  24455.2 | REM: 1524.50 [MIN]
17:59:16> ACT CON 3:    6840 | ACT CON 5:   98299 | FULL SEQ:  357166 / 1860480 | MIN DV:  24455.2 | REM: 1524.20 [MIN]
17:59:27> ACT CON 3:    6840 | ACT CON 5:   98347 | FULL SEQ:  357423 / 1860480 | MIN DV:  24455.2 | REM: 1523.55 [MIN]
17:59:40> ACT CON 3:    6840 | ACT CON 5:   98409 | FULL SEQ:  357719 / 1860480 | MIN DV:  24455.2 | REM: 1522.91 [MIN]
17:59:50> ACT CON 3:    6840 | ACT CON 5:   98460 | FULL SEQ:  357971 / 1860480 | MIN DV:  24455.2 | REM: 1522.28 [MIN]
18:00:01> ACT CON 3:    6840 | ACT CON 5:   98514 | FULL SEQ:  358220 / 1860480 | MIN DV:  24455.2 | REM: 1521.74 [MIN]
18:00:11> ACT CON 3:    6840 | ACT CON 5:   98566 | FULL SEQ:  358517 / 1860480 | MIN DV:  24455.2 | REM: 1520.90 [MIN]
18:00:23> ACT CON 3:    6840 | ACT CON 5:   98622 | FULL SEQ:  358769 / 1860480 | MIN DV:  24455.2 | REM: 1520.40 [MIN]
18:00:34> ACT CON 3:    6840 | ACT CON 5:   98676 | FULL SEQ:  359017 / 1860480 | MIN DV:  24455.2 | REM: 1519.90 [MIN]
18:00:46> ACT CON 3:    6840 | ACT CON 5:   98738 | FULL SEQ:  359268 / 1860480 | MIN DV:  24455.2 | REM: 1519.44 [MIN]
18:00:57> ACT CON 3:    6840 | ACT CON 5:   98789 | FULL SEQ:  359517 / 1860480 | MIN DV:  24455.2 | REM: 1518.86 [MIN]
18:01:08> ACT CON 3:    6840 | ACT CON 5:   98844 | FULL SEQ:  359769 / 1860480 | MIN DV:  24455.2 | REM: 1518.33 [MIN]
18:01:19> ACT CON 3:    6840 | ACT CON 5:   98896 | FULL SEQ:  360018 / 1860480 | MIN DV:  24455.2 | REM: 1517.75 [MIN]
18:01:29> ACT CON 3:    6840 | ACT CON 5:   98946 | FULL SEQ:  360317 / 1860480 | MIN DV:  24455.2 | REM: 1516.94 [MIN]
18:01:41> ACT CON 3:    6840 | ACT CON 5:   99002 | FULL SEQ:  360568 / 1860480 | MIN DV:  24455.2 | REM: 1516.41 [MIN]
18:01:51> ACT CON 3:    6840 | ACT CON 5:   99051 | FULL SEQ:  360820 / 1860480 | MIN DV:  24455.2 | REM: 1515.81 [MIN]
18:02:02> ACT CON 3:    6840 | ACT CON 5:   99107 | FULL SEQ:  361068 / 1860480 | MIN DV:  24455.2 | REM: 1515.29 [MIN]
18:02:13> ACT CON 3:    6840 | ACT CON 5:   99158 | FULL SEQ:  361316 / 1860480 | MIN DV:  24455.2 | REM: 1514.76 [MIN]
18:02:25> ACT CON 3:    6840 | ACT CON 5:   99214 | FULL SEQ:  361618 / 1860480 | MIN DV:  24455.2 | REM: 1513.98 [MIN]
18:02:36> ACT CON 3:    6840 | ACT CON 5:   99271 | FULL SEQ:  361867 / 1860480 | MIN DV:  24455.2 | REM: 1513.47 [MIN]
18:02:48> ACT CON 3:    6840 | ACT CON 5:   99325 | FULL SEQ:  362116 / 1860480 | MIN DV:  24455.2 | REM: 1512.98 [MIN]
18:02:59> ACT CON 3:    6840 | ACT CON 5:   99381 | FULL SEQ:  362367 / 1860480 | MIN DV:  24455.2 | REM: 1512.45 [MIN]
18:03:11> ACT CON 3:    6840 | ACT CON 5:   99440 | FULL SEQ:  362667 / 1860480 | MIN DV:  24455.2 | REM: 1511.73 [MIN]
18:03:23> ACT CON 3:    6840 | ACT CON 5:   99496 | FULL SEQ:  362968 / 1860480 | MIN DV:  24455.2 | REM: 1510.98 [MIN]
18:03:33> ACT CON 3:    6840 | ACT CON 5:   99544 | FULL SEQ:  363166 / 1860480 | MIN DV:  24455.2 | REM: 1510.65 [MIN]
18:03:43> ACT CON 3:    6840 | ACT CON 5:   99596 | FULL SEQ:  363467 / 1860480 | MIN DV:  24455.2 | REM: 1509.82 [MIN]
18:03:57> ACT CON 3:    6840 | ACT CON 5:   99662 | FULL SEQ:  363718 / 1860480 | MIN DV:  24455.2 | REM: 1509.43 [MIN]
18:04:09> ACT CON 3:    6840 | ACT CON 5:   99722 | FULL SEQ:  364022 / 1860480 | MIN DV:  24455.2 | REM: 1508.72 [MIN]
18:04:20> ACT CON 3:    6840 | ACT CON 5:   99775 | FULL SEQ:  364317 / 1860480 | MIN DV:  24455.2 | REM: 1507.94 [MIN]
18:04:32> ACT CON 3:    6840 | ACT CON 5:   99833 | FULL SEQ:  364617 / 1860480 | MIN DV:  24455.2 | REM: 1507.22 [MIN]
18:04:45> ACT CON 3:    6840 | ACT CON 5:   99896 | FULL SEQ:  364916 / 1860480 | MIN DV:  24455.2 | REM: 1506.57 [MIN]
18:04:57> ACT CON 3:    6840 | ACT CON 5:   99952 | FULL SEQ:  365217 / 1860480 | MIN DV:  24455.2 | REM: 1505.83 [MIN]
18:05:08> ACT CON 3:    6840 | ACT CON 5:  100009 | FULL SEQ:  365517 / 1860480 | MIN DV:  24455.2 | REM: 1505.07 [MIN]
18:05:20> ACT CON 3:    6840 | ACT CON 5:  100069 | FULL SEQ:  365868 / 1860480 | MIN DV:  24455.2 | REM: 1504.08 [MIN]
18:05:32> ACT CON 3:    6840 | ACT CON 5:  100127 | FULL SEQ:  366116 / 1860480 | MIN DV:  24455.2 | REM: 1503.61 [MIN]
18:05:43> ACT CON 3:    6840 | ACT CON 5:  100179 | FULL SEQ:  366418 / 1860480 | MIN DV:  24455.2 | REM: 1502.82 [MIN]
18:05:53> ACT CON 3:    6840 | ACT CON 5:  100232 | FULL SEQ:  366618 / 1860480 | MIN DV:  24455.2 | REM: 1502.50 [MIN]
18:06:03> ACT CON 3:    6840 | ACT CON 5:  100281 | FULL SEQ:  366816 / 1860480 | MIN DV:  24455.2 | REM: 1502.20 [MIN]
18:06:15> ACT CON 3:    6840 | ACT CON 5:  100335 | FULL SEQ:  367066 / 1860480 | MIN DV:  24455.2 | REM: 1501.69 [MIN]
18:06:26> ACT CON 3:    6840 | ACT CON 5:  100391 | FULL SEQ:  367366 / 1860480 | MIN DV:  24455.2 | REM: 1500.94 [MIN]
18:06:39> ACT CON 3:    6840 | ACT CON 5:  100452 | FULL SEQ:  367617 / 1860480 | MIN DV:  24455.2 | REM: 1500.50 [MIN]
18:06:50> ACT CON 3:    6840 | ACT CON 5:  100506 | FULL SEQ:  367867 / 1860480 | MIN DV:  24455.2 | REM: 1499.98 [MIN]
18:07:01> ACT CON 3:    6840 | ACT CON 5:  100559 | FULL SEQ:  368116 / 1860480 | MIN DV:  24455.2 | REM: 1499.47 [MIN]
18:07:11> ACT CON 3:    6840 | ACT CON 5:  100610 | FULL SEQ:  368366 / 1860480 | MIN DV:  24455.2 | REM: 1498.89 [MIN]
18:07:22> ACT CON 3:    6840 | ACT CON 5:  100665 | FULL SEQ:  368667 / 1860480 | MIN DV:  24455.2 | REM: 1498.08 [MIN]
18:07:32> ACT CON 3:    6840 | ACT CON 5:  100712 | FULL SEQ:  368866 / 1860480 | MIN DV:  24455.2 | REM: 1497.76 [MIN]
18:07:43> ACT CON 3:    6840 | ACT CON 5:  100767 | FULL SEQ:  369116 / 1860480 | MIN DV:  24455.2 | REM: 1497.25 [MIN]
18:07:54> ACT CON 3:    6840 | ACT CON 5:  100823 | FULL SEQ:  369422 / 1860480 | MIN DV:  24455.2 | REM: 1496.47 [MIN]
18:08:06> ACT CON 3:    6840 | ACT CON 5:  100877 | FULL SEQ:  369722 / 1860480 | MIN DV:  24455.2 | REM: 1495.70 [MIN]
18:08:18> ACT CON 3:    6840 | ACT CON 5:  100937 | FULL SEQ:  370016 / 1860480 | MIN DV:  24455.2 | REM: 1495.06 [MIN]
18:08:28> ACT CON 3:    6840 | ACT CON 5:  100986 | FULL SEQ:  370266 / 1860480 | MIN DV:  24455.2 | REM: 1494.48 [MIN]
18:08:40> ACT CON 3:    6840 | ACT CON 5:  101042 | FULL SEQ:  370470 / 1860480 | MIN DV:  24455.2 | REM: 1494.22 [MIN]
18:08:50> ACT CON 3:    6840 | ACT CON 5:  101093 | FULL SEQ:  370718 / 1860480 | MIN DV:  24455.2 | REM: 1493.68 [MIN]
18:09:01> ACT CON 3:    6840 | ACT CON 5:  101146 | FULL SEQ:  371017 / 1860480 | MIN DV:  24455.2 | REM: 1492.90 [MIN]
18:09:12> ACT CON 3:    6840 | ACT CON 5:  101198 | FULL SEQ:  371267 / 1860480 | MIN DV:  24455.2 | REM: 1492.35 [MIN]
18:09:23> ACT CON 3:    6840 | ACT CON 5:  101251 | FULL SEQ:  371566 / 1860480 | MIN DV:  24455.2 | REM: 1491.60 [MIN]
18:09:35> ACT CON 3:    6840 | ACT CON 5:  101311 | FULL SEQ:  371816 / 1860480 | MIN DV:  24455.2 | REM: 1491.15 [MIN]
18:09:46> ACT CON 3:    6840 | ACT CON 5:  101363 | FULL SEQ:  372066 / 1860480 | MIN DV:  24455.2 | REM: 1490.62 [MIN]
18:09:56> ACT CON 3:    6840 | ACT CON 5:  101413 | FULL SEQ:  372316 / 1860480 | MIN DV:  24455.2 | REM: 1490.03 [MIN]
18:10:07> ACT CON 3:    6840 | ACT CON 5:  101468 | FULL SEQ:  372616 / 1860480 | MIN DV:  24455.2 | REM: 1489.29 [MIN]
18:10:18> ACT CON 3:    6840 | ACT CON 5:  101519 | FULL SEQ:  372867 / 1860480 | MIN DV:  24455.2 | REM: 1488.73 [MIN]
18:10:28> ACT CON 3:    6840 | ACT CON 5:  101568 | FULL SEQ:  373068 / 1860480 | MIN DV:  24455.2 | REM: 1488.41 [MIN]
18:10:38> ACT CON 3:    6840 | ACT CON 5:  101619 | FULL SEQ:  373318 / 1860480 | MIN DV:  24455.2 | REM: 1487.85 [MIN]
18:10:48> ACT CON 3:    6840 | ACT CON 5:  101669 | FULL SEQ:  373568 / 1860480 | MIN DV:  24455.2 | REM: 1487.27 [MIN]
18:10:59> ACT CON 3:    6840 | ACT CON 5:  101718 | FULL SEQ:  373818 / 1860480 | MIN DV:  24455.2 | REM: 1486.75 [MIN]
18:11:11> ACT CON 3:    6840 | ACT CON 5:  101778 | FULL SEQ:  374067 / 1860480 | MIN DV:  24455.2 | REM: 1486.32 [MIN]
18:11:23> ACT CON 3:    6840 | ACT CON 5:  101836 | FULL SEQ:  374368 / 1860480 | MIN DV:  24455.2 | REM: 1485.61 [MIN]
18:11:35> ACT CON 3:    6840 | ACT CON 5:  101895 | FULL SEQ:  374672 / 1860480 | MIN DV:  24455.2 | REM: 1484.89 [MIN]
18:11:46> ACT CON 3:    6840 | ACT CON 5:  101945 | FULL SEQ:  374967 / 1860480 | MIN DV:  24455.2 | REM: 1484.11 [MIN]
18:11:57> ACT CON 3:    6840 | ACT CON 5:  102002 | FULL SEQ:  375267 / 1860480 | MIN DV:  24455.2 | REM: 1483.40 [MIN]
18:12:09> ACT CON 3:    6840 | ACT CON 5:  102061 | FULL SEQ:  375518 / 1860480 | MIN DV:  24455.2 | REM: 1482.95 [MIN]
18:12:21> ACT CON 3:    6840 | ACT CON 5:  102116 | FULL SEQ:  375768 / 1860480 | MIN DV:  24455.2 | REM: 1482.47 [MIN]
18:12:32> ACT CON 3:    6840 | ACT CON 5:  102170 | FULL SEQ:  376019 / 1860480 | MIN DV:  24455.2 | REM: 1481.96 [MIN]
18:12:42> ACT CON 3:    6840 | ACT CON 5:  102223 | FULL SEQ:  376275 / 1860480 | MIN DV:  24455.2 | REM: 1481.38 [MIN]
18:12:53> ACT CON 3:    6840 | ACT CON 5:  102274 | FULL SEQ:  376518 / 1860480 | MIN DV:  24455.2 | REM: 1480.88 [MIN]
18:13:03> ACT CON 3:    6840 | ACT CON 5:  102328 | FULL SEQ:  376767 / 1860480 | MIN DV:  24455.2 | REM: 1480.35 [MIN]
18:13:14> ACT CON 3:    6840 | ACT CON 5:  102376 | FULL SEQ:  377024 / 1860480 | MIN DV:  24455.2 | REM: 1479.75 [MIN]
18:13:25> ACT CON 3:    6840 | ACT CON 5:  102431 | FULL SEQ:  377316 / 1860480 | MIN DV:  24455.2 | REM: 1479.04 [MIN]
18:13:37> ACT CON 3:    6840 | ACT CON 5:  102487 | FULL SEQ:  377566 / 1860480 | MIN DV:  24455.2 | REM: 1478.60 [MIN]
18:13:47> ACT CON 3:    6840 | ACT CON 5:  102538 | FULL SEQ:  377817 / 1860480 | MIN DV:  24455.2 | REM: 1478.03 [MIN]
18:13:59> ACT CON 3:    6840 | ACT CON 5:  102599 | FULL SEQ:  378066 / 1860480 | MIN DV:  24455.2 | REM: 1477.62 [MIN]
18:14:11> ACT CON 3:    6840 | ACT CON 5:  102652 | FULL SEQ:  378368 / 1860480 | MIN DV:  24455.2 | REM: 1476.88 [MIN]
18:14:22> ACT CON 3:    6840 | ACT CON 5:  102711 | FULL SEQ:  378666 / 1860480 | MIN DV:  24455.2 | REM: 1476.18 [MIN]
18:14:34> ACT CON 3:    6840 | ACT CON 5:  102771 | FULL SEQ:  378916 / 1860480 | MIN DV:  24455.2 | REM: 1475.75 [MIN]
18:14:45> ACT CON 3:    6840 | ACT CON 5:  102824 | FULL SEQ:  379218 / 1860480 | MIN DV:  24455.2 | REM: 1474.97 [MIN]
18:14:57> ACT CON 3:    6840 | ACT CON 5:  102880 | FULL SEQ:  379470 / 1860480 | MIN DV:  24455.2 | REM: 1474.48 [MIN]
18:15:07> ACT CON 3:    6840 | ACT CON 5:  102931 | FULL SEQ:  379666 / 1860480 | MIN DV:  24455.2 | REM: 1474.20 [MIN]
18:15:18> ACT CON 3:    6840 | ACT CON 5:  102981 | FULL SEQ:  379866 / 1860480 | MIN DV:  24455.2 | REM: 1473.93 [MIN]
18:15:28> ACT CON 3:    6840 | ACT CON 5:  103033 | FULL SEQ:  380118 / 1860480 | MIN DV:  24455.2 | REM: 1473.37 [MIN]
18:15:38> ACT CON 3:    6840 | ACT CON 5:  103082 | FULL SEQ:  380316 / 1860480 | MIN DV:  24455.2 | REM: 1473.06 [MIN]
18:15:48> ACT CON 3:    6840 | ACT CON 5:  103135 | FULL SEQ:  380568 / 1860480 | MIN DV:  24455.2 | REM: 1472.49 [MIN]
18:16:00> ACT CON 3:    6840 | ACT CON 5:  103189 | FULL SEQ:  380769 / 1860480 | MIN DV:  24455.2 | REM: 1472.25 [MIN]
18:16:11> ACT CON 3:    6840 | ACT CON 5:  103247 | FULL SEQ:  381068 / 1860480 | MIN DV:  24455.2 | REM: 1471.56 [MIN]
18:16:22> ACT CON 3:    6840 | ACT CON 5:  103298 | FULL SEQ:  381316 / 1860480 | MIN DV:  24455.2 | REM: 1471.06 [MIN]
18:16:33> ACT CON 3:    6840 | ACT CON 5:  103350 | FULL SEQ:  381621 / 1860480 | MIN DV:  24455.2 | REM: 1470.25 [MIN]
18:16:44> ACT CON 3:    6840 | ACT CON 5:  103405 | FULL SEQ:  381867 / 1860480 | MIN DV:  24455.2 | REM: 1469.77 [MIN]
18:16:55> ACT CON 3:    6840 | ACT CON 5:  103459 | FULL SEQ:  382166 / 1860480 | MIN DV:  24455.2 | REM: 1469.04 [MIN]
18:17:06> ACT CON 3:    6840 | ACT CON 5:  103514 | FULL SEQ:  382417 / 1860480 | MIN DV:  24455.2 | REM: 1468.57 [MIN]
18:17:18> ACT CON 3:    6840 | ACT CON 5:  103568 | FULL SEQ:  382716 / 1860480 | MIN DV:  24455.2 | REM: 1467.85 [MIN]
18:17:28> ACT CON 3:    6840 | ACT CON 5:  103621 | FULL SEQ:  383019 / 1860480 | MIN DV:  24455.2 | REM: 1467.08 [MIN]
18:17:39> ACT CON 3:    6840 | ACT CON 5:  103674 | FULL SEQ:  383218 / 1860480 | MIN DV:  24455.2 | REM: 1466.84 [MIN]
18:17:51> ACT CON 3:    6840 | ACT CON 5:  103728 | FULL SEQ:  383467 / 1860480 | MIN DV:  24455.2 | REM: 1466.35 [MIN]
18:18:03> ACT CON 3:    6840 | ACT CON 5:  103789 | FULL SEQ:  383719 / 1860480 | MIN DV:  24455.2 | REM: 1465.91 [MIN]
18:18:15> ACT CON 3:    6840 | ACT CON 5:  103848 | FULL SEQ:  383966 / 1860480 | MIN DV:  24455.2 | REM: 1465.49 [MIN]
18:18:26> ACT CON 3:    6840 | ACT CON 5:  103905 | FULL SEQ:  384218 / 1860480 | MIN DV:  24455.2 | REM: 1465.03 [MIN]
18:18:37> ACT CON 3:    6840 | ACT CON 5:  103954 | FULL SEQ:  384466 / 1860480 | MIN DV:  24455.2 | REM: 1464.50 [MIN]
18:18:48> ACT CON 3:    6840 | ACT CON 5:  104009 | FULL SEQ:  384718 / 1860480 | MIN DV:  24455.2 | REM: 1464.00 [MIN]
18:18:59> ACT CON 3:    6840 | ACT CON 5:  104063 | FULL SEQ:  384970 / 1860480 | MIN DV:  24455.2 | REM: 1463.51 [MIN]
18:19:10> ACT CON 3:    6840 | ACT CON 5:  104116 | FULL SEQ:  385266 / 1860480 | MIN DV:  24455.2 | REM: 1462.76 [MIN]
18:19:22> ACT CON 3:    6840 | ACT CON 5:  104174 | FULL SEQ:  385575 / 1860480 | MIN DV:  24455.2 | REM: 1462.05 [MIN]
18:19:34> ACT CON 3:    6840 | ACT CON 5:  104233 | FULL SEQ:  385869 / 1860480 | MIN DV:  24455.2 | REM: 1461.43 [MIN]
18:19:45> ACT CON 3:    6840 | ACT CON 5:  104287 | FULL SEQ:  386117 / 1860480 | MIN DV:  24455.2 | REM: 1460.95 [MIN]
18:19:56> ACT CON 3:    6840 | ACT CON 5:  104337 | FULL SEQ:  386370 / 1860480 | MIN DV:  24455.2 | REM: 1460.42 [MIN]
18:20:06> ACT CON 3:    6840 | ACT CON 5:  104387 | FULL SEQ:  386568 / 1860480 | MIN DV:  24455.2 | REM: 1460.12 [MIN]
18:20:16> ACT CON 3:    6840 | ACT CON 5:  104435 | FULL SEQ:  386768 / 1860480 | MIN DV:  24455.2 | REM: 1459.81 [MIN]
18:20:26> ACT CON 3:    6840 | ACT CON 5:  104486 | FULL SEQ:  387017 / 1860480 | MIN DV:  24455.2 | REM: 1459.28 [MIN]
18:20:36> ACT CON 3:    6840 | ACT CON 5:  104536 | FULL SEQ:  387266 / 1860480 | MIN DV:  24455.2 | REM: 1458.74 [MIN]
18:20:47> ACT CON 3:    6840 | ACT CON 5:  104589 | FULL SEQ:  387520 / 1860480 | MIN DV:  24455.2 | REM: 1458.21 [MIN]
18:20:57> ACT CON 3:    6840 | ACT CON 5:  104639 | FULL SEQ:  387767 / 1860480 | MIN DV:  24455.2 | REM: 1457.70 [MIN]
18:21:08> ACT CON 3:    6840 | ACT CON 5:  104688 | FULL SEQ:  387971 / 1860480 | MIN DV:  24455.2 | REM: 1457.37 [MIN]
18:21:19> ACT CON 3:    6840 | ACT CON 5:  104740 | FULL SEQ:  388216 / 1860480 | MIN DV:  24455.2 | REM: 1456.92 [MIN]
18:21:31> ACT CON 3:    6840 | ACT CON 5:  104799 | FULL SEQ:  388466 / 1860480 | MIN DV:  24455.2 | REM: 1456.48 [MIN]
18:21:41> ACT CON 3:    6840 | ACT CON 5:  104851 | FULL SEQ:  388767 / 1860480 | MIN DV:  24455.2 | REM: 1455.72 [MIN]
18:21:53> ACT CON 3:    6840 | ACT CON 5:  104908 | FULL SEQ:  389017 / 1860480 | MIN DV:  24455.2 | REM: 1455.28 [MIN]
18:22:03> ACT CON 3:    6840 | ACT CON 5:  104957 | FULL SEQ:  389266 / 1860480 | MIN DV:  24455.2 | REM: 1454.76 [MIN]
18:22:14> ACT CON 3:    6840 | ACT CON 5:  105014 | FULL SEQ:  389567 / 1860480 | MIN DV:  24455.2 | REM: 1454.02 [MIN]
18:22:26> ACT CON 3:    6840 | ACT CON 5:  105073 | FULL SEQ:  389867 / 1860480 | MIN DV:  24455.2 | REM: 1453.34 [MIN]
18:22:38> ACT CON 3:    6840 | ACT CON 5:  105125 | FULL SEQ:  390173 / 1860480 | MIN DV:  24455.2 | REM: 1452.62 [MIN]
18:22:49> ACT CON 3:    6840 | ACT CON 5:  105182 | FULL SEQ:  390425 / 1860480 | MIN DV:  24455.2 | REM: 1452.16 [MIN]
18:23:00> ACT CON 3:    6840 | ACT CON 5:  105233 | FULL SEQ:  390668 / 1860480 | MIN DV:  24455.2 | REM: 1451.67 [MIN]
18:23:11> ACT CON 3:    6840 | ACT CON 5:  105289 | FULL SEQ:  390966 / 1860480 | MIN DV:  24455.2 | REM: 1450.97 [MIN]
18:23:21> ACT CON 3:    6840 | ACT CON 5:  105340 | FULL SEQ:  391216 / 1860480 | MIN DV:  24455.2 | REM: 1450.47 [MIN]
18:23:33> ACT CON 3:    6840 | ACT CON 5:  105399 | FULL SEQ:  391417 / 1860480 | MIN DV:  24455.2 | REM: 1450.25 [MIN]
18:23:45> ACT CON 3:    6840 | ACT CON 5:  105455 | FULL SEQ:  391721 / 1860480 | MIN DV:  24455.2 | REM: 1449.57 [MIN]
18:23:56> ACT CON 3:    6840 | ACT CON 5:  105514 | FULL SEQ:  391970 / 1860480 | MIN DV:  24455.2 | REM: 1449.13 [MIN]
18:24:08> ACT CON 3:    6840 | ACT CON 5:  105567 | FULL SEQ:  392220 / 1860480 | MIN DV:  24455.2 | REM: 1448.66 [MIN]
18:24:18> ACT CON 3:    6840 | ACT CON 5:  105617 | FULL SEQ:  392467 / 1860480 | MIN DV:  24455.2 | REM: 1448.17 [MIN]
18:24:31> ACT CON 3:    6840 | ACT CON 5:  105676 | FULL SEQ:  392769 / 1860480 | MIN DV:  24455.2 | REM: 1447.52 [MIN]
18:24:42> ACT CON 3:    6840 | ACT CON 5:  105731 | FULL SEQ:  393018 / 1860480 | MIN DV:  24455.2 | REM: 1447.06 [MIN]
18:24:55> ACT CON 3:    6840 | ACT CON 5:  105792 | FULL SEQ:  393317 / 1860480 | MIN DV:  24455.2 | REM: 1446.46 [MIN]
18:25:06> ACT CON 3:    6840 | ACT CON 5:  105844 | FULL SEQ:  393666 / 1860480 | MIN DV:  24455.2 | REM: 1445.51 [MIN]
18:25:16> ACT CON 3:    6840 | ACT CON 5:  105894 | FULL SEQ:  393916 / 1860480 | MIN DV:  24455.2 | REM: 1445.00 [MIN]
18:25:28> ACT CON 3:    6840 | ACT CON 5:  105955 | FULL SEQ:  394166 / 1860480 | MIN DV:  24455.2 | REM: 1444.59 [MIN]
18:25:39> ACT CON 3:    6840 | ACT CON 5:  106007 | FULL SEQ:  394416 / 1860480 | MIN DV:  24455.2 | REM: 1444.11 [MIN]
18:25:50> ACT CON 3:    6840 | ACT CON 5:  106057 | FULL SEQ:  394668 / 1860480 | MIN DV:  24455.2 | REM: 1443.59 [MIN]
18:26:01> ACT CON 3:    6840 | ACT CON 5:  106114 | FULL SEQ:  394917 / 1860480 | MIN DV:  24455.2 | REM: 1443.15 [MIN]
18:26:14> ACT CON 3:    6840 | ACT CON 5:  106179 | FULL SEQ:  395167 / 1860480 | MIN DV:  24455.2 | REM: 1442.80 [MIN]
18:26:25> ACT CON 3:    6840 | ACT CON 5:  106230 | FULL SEQ:  395416 / 1860480 | MIN DV:  24455.2 | REM: 1442.32 [MIN]
18:26:36> ACT CON 3:    6840 | ACT CON 5:  106284 | FULL SEQ:  395666 / 1860480 | MIN DV:  24455.2 | REM: 1441.81 [MIN]
18:26:46> ACT CON 3:    6840 | ACT CON 5:  106334 | FULL SEQ:  395866 / 1860480 | MIN DV:  24455.2 | REM: 1441.54 [MIN]
18:26:59> ACT CON 3:    6840 | ACT CON 5:  106394 | FULL SEQ:  396168 / 1860480 | MIN DV:  24455.2 | REM: 1440.89 [MIN]
18:27:10> ACT CON 3:    6840 | ACT CON 5:  106451 | FULL SEQ:  396417 / 1860480 | MIN DV:  24455.2 | REM: 1440.46 [MIN]
